monotone_signs	monotone_bits	monotone_code	palette_code	palette_word	red	green	blue	hex	count
- - - - - - -	0000000	0	128	10000000	87	194	194	#57c2c2	51091
- - - - - - +	0000001	1	129	10000001	194	95	69	#c25f45	1270
- - - - - + -	0000010	2	130	10000010	51	134	194	#3386c2	2200
- - - - - + +	0000011	3	131	10000011	194	135	33	#c28721	920
- - - - + - -	0000100	4	132	10000100	94	112	209	#5e70d1	2450
- - - - + - +	0000101	5	133	10000101	202	209	75	#cad14b	1925
- - - - + + -	0000110	6	134	10000110	96	55	209	#6037d1	1384
- - - - + + +	0000111	7	135	10000111	126	209	36	#7ed124	1301
- - - + - - -	0001000	8	136	10001000	186	101	224	#ba65e0	6740
- - - + - - +	0001001	9	137	10001001	95	224	80	#5fe050	2271
- - - + - + -	0001010	10	138	10001010	224	59	206	#e03bce	4333
- - - + - + +	0001011	11	139	10001011	38	224	98	#26e062	1823
- - - + + - -	0001100	12	140	10001100	240	108	170	#f06caa	1580
- - - + + - +	0001101	13	141	10001101	85	240	200	#55f0c8	2199
- - - + + + -	0001110	14	142	10001110	240	63	71	#f03f47	1665
- - - + + + +	0001111	15	143	10001111	41	207	240	#29cff0	2531
- - + - - - -	0010000	16	144	10010000	194	127	87	#c27f57	2099
- - + - - - +	0010001	17	145	10010001	69	121	194	#4579c2	6774
- - + - - + -	0010010	18	146	10010010	194	165	51	#c2a533	3650
- - + - - + +	0010011	19	147	10010011	34	33	194	#2221c2	2522
- - + - + - -	0010100	20	148	10010100	184	209	94	#b8d15e	3398
- - + - + - +	0010101	21	149	10010101	132	75	209	#844bd1	4066
- - + - + + -	0010110	22	150	10010110	110	209	55	#6ed137	2806
- - + - + + +	0010111	23	151	10010111	183	36	209	#b724d1	3191
- - + + - - -	0011000	24	152	10011000	101	224	109	#65e06d	1885
- - + + - - +	0011001	25	153	10011001	224	80	185	#e050b9	2951
- - + + - + -	0011010	26	154	10011010	59	224	139	#3be08b	3186
- - + + - + +	0011011	27	155	10011011	224	38	95	#e0265f	4401
- - + + + - -	0011100	28	156	10011100	108	240	227	#6cf0e3	1982
- - + + + - +	0011101	29	157	10011101	240	104	85	#f06855	3556
- - + + + + -	0011110	30	158	10011110	63	182	240	#3fb6f0	3135
- - + + + + +	0011111	31	159	10011111	240	148	41	#f09429	5668
- + - - - - -	0100000	32	160	10100000	87	114	194	#5772c2	2269
- + - - - - +	0100001	33	161	10100001	194	189	69	#c2bd45	2176
- + - - - + -	0100010	34	162	10100010	76	51	194	#4c33c2	6633
- + - - - + +	0100011	35	163	10100011	132	194	33	#84c221	1879
- + - - + - -	0100100	36	164	10100100	162	94	209	#a25ed1	3579
- + - - + - +	0100101	37	165	10100101	101	209	75	#65d14b	3797
- + - - + + -	0100110	38	166	10100110	209	55	207	#d137cf	3637
- + - - + + +	0100111	39	167	10100111	36	209	75	#24d14b	3150
- + - + - - -	0101000	40	168	10101000	224	101	170	#e065aa	4257
- + - + - - +	0101001	41	169	10101001	80	224	174	#50e0ae	3447
- + - + - + -	0101010	42	170	10101010	224	59	82	#e03b52	43877
- + - + - + +	0101011	43	171	10101011	38	211	224	#26d3e0	5372
- + - + + - -	0101100	44	172	10101100	240	145	108	#f0916c	2543
- + - + + - +	0101101	45	173	10101101	85	164	240	#55a4f0	5162
- + - + + + -	0101110	46	174	10101110	240	187	63	#f0bb3f	5154
- + - + + + +	0101111	47	175	10101111	41	58	240	#293af0	6695
- + + - - - -	0110000	48	176	10110000	180	194	87	#b4c257	1357
- + + - - - +	0110001	49	177	10110001	111	69	194	#6f45c2	2586
- + + - - + -	0110010	50	178	10110010	116	194	51	#74c233	2831
- + + - - + +	0110011	51	179	10110011	155	33	194	#9b21c2	4807
- + + - + - -	0110100	52	180	10110100	98	209	94	#62d15e	3644
- + + - + - +	0110101	53	181	10110101	209	75	185	#d14bb9	4839
- + + - + + -	0110110	54	182	10110110	55	209	115	#37d173	10546
- + + - + + +	0110111	55	183	10110111	209	36	105	#d12469	7759
- + + + - - -	0111000	56	184	10111000	101	224	201	#65e0c9	1645
- + + + - - +	0111001	57	185	10111001	224	83	80	#e05350	3737
- + + + - + -	0111010	58	186	10111010	59	186	224	#3bbae0	5494
- + + + - + +	0111011	59	187	10111011	224	121	38	#e07926	12018
- + + + + - -	0111100	60	188	10111100	108	153	240	#6c99f0	3173
- + + + + - +	0111101	61	189	10111101	240	219	85	#f0db55	7202
- + + + + + -	0111110	62	190	10111110	77	63	240	#4d3ff0	7365
- + + + + + +	0111111	63	191	10111111	182	240	41	#b6f029	13378
+ - - - - - -	1000000	64	192	11000000	141	87	194	#8d57c2	1242
+ - - - - - +	1000001	65	193	11000001	105	194	69	#69c245	1861
+ - - - - + -	1000010	66	194	11000010	183	51	194	#b733c2	2082
+ - - - - + +	1000011	67	195	11000011	33	194	54	#21c236	1854
+ - - - + - -	1000100	68	196	11000100	209	94	170	#d15eaa	5293
+ - - - + - +	1000101	69	197	11000101	75	209	149	#4bd195	3693
+ - - - + + -	1000110	70	198	11000110	209	55	91	#d1375b	2547
+ - - - + + +	1000111	71	199	11000111	36	209	205	#24d1cd	2928
+ - - + - - -	1001000	72	200	11001000	224	124	101	#e07c65	1734
+ - - + - - +	1001001	73	201	11001001	80	167	224	#50a7e0	3536
+ - - + - + -	1001010	74	202	11001010	224	160	59	#e0a03b	3669
+ - - + - + +	1001011	75	203	11001011	38	72	224	#2648e0	4481
+ - - + + - -	1001100	76	204	11001100	236	240	108	#ecf06c	2754
+ - - + + - +	1001101	77	205	11001101	123	85	240	#7b55f0	4893
+ - - + + + -	1001110	78	206	11001110	160	240	63	#a0f03f	3786
+ - - + + + +	1001111	79	207	11001111	173	41	240	#ad29f0	6478
+ - + - - - -	1010000	80	208	11010000	101	194	87	#65c257	2198
+ - + - - - +	1010001	81	209	11010001	194	69	183	#c245b7	4006
+ - + - - + -	1010010	82	210	11010010	51	194	93	#33c25d	3665
+ - + - - + +	1010011	83	211	11010011	194	33	112	#c22170	4556
+ - + - + - -	1010100	84	212	11010100	94	209	177	#5ed1b1	4039
+ - + - + - +	1010101	85	213	11010101	209	75	84	#d14b54	53431
+ - + - + + -	1010110	86	214	11010110	55	187	209	#37bbd1	4862
+ - + - + + +	1010111	87	215	11010111	209	97	36	#d16124	8979
+ - + + - - -	1011000	88	216	11011000	101	155	224	#659be0	2070
+ - + + - - +	1011001	89	217	11011001	224	192	80	#e0c050	4658
